index,reaction_semantic_similarity,reaction_psychological_depth_analysis_before_level,reaction_psychological_depth_analysis_after_level,reaction_psychological_depth_analysis_before_focus,reaction_psychological_depth_analysis_after_focus,reaction_psychological_depth_analysis_change_direction,reaction_reaction_types_analysis_before_types_emocjonalne,reaction_reaction_types_analysis_before_types_kognitywne,reaction_reaction_types_analysis_before_types_behawioralne_manifestacje,reaction_reaction_types_analysis_before_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_after_types_emocjonalne,reaction_reaction_types_analysis_after_types_kognitywne,reaction_reaction_types_analysis_after_types_behawioralne_manifestacje,reaction_reaction_types_analysis_after_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_emotional_granularity_change,reaction_conceptual_coverage_before_categories,reaction_conceptual_coverage_after_categories,reaction_conceptual_coverage_maintained_categories,reaction_conceptual_coverage_new_categories,reaction_conceptual_coverage_lost_categories,reaction_evolution_assessment_type,reaction_evolution_assessment_description,reaction_evolution_assessment_quality_change,reaction_key_insights,reaction_analysis_type
623,0.3,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,1,0,0,1,0,0,"Annotator przeszedł od prostego opisu negacji jako zachowania do bardziej złożonego opisu myślenia, które wskazuje na procesy kognitywne związane z oporem wobec manipulacji.",negacja jako zachowanie,opór wobec manipulacji; procesy myślowe,[],opór wobec manipulacji; procesy myślowe,negacja jako zachowanie,pogłębienie psychologiczne,"Annotator przeszedł od opisu negacji jako prostego zachowania do analizy myślenia i procesów kognitywnych, co wskazuje na rozwój w rozumieniu reakcji na wpływ społeczny.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu zachowania na analizę myślenia, co pokazuje głębsze zrozumienie procesów kognitywnych; (2) Wprowadzenie pojęcia oporu wobec manipulacji, co wskazuje na bardziej złożoną interpretację reakcji na wpływ społeczny.",reaction
625,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,2,0,0,0,0,0,"Brak zmian w zrozumieniu emocjonalnym, ponieważ odpowiedź po jest pusta.",brak zainteresowania; odmowa,[],[],[],brak zainteresowania; odmowa,brak znaczącej zmiany,Brak odpowiedzi w sekcji 'After' wskazuje na brak rozwoju w zrozumieniu reakcji na wpływ społeczny.,-1.0,"Brak jakiejkolwiek zmiany w zrozumieniu reakcji na wpływ społeczny, co może sugerować stagnację w analizie lub brak zaangażowania w temat.",reaction
626,0.5,średni,średni,psychologiczny,mieszany,bez zmian,0,2,1,0,0,3,2,0,"Annotator nie dodał nowych emocji, ale zidentyfikował więcej kognitywnych i behawioralnych aspektów reakcji, co pokazuje rozwój w rozumieniu reakcji na wpływ społeczny.",sceptycyzm (kognitywny); ostrożność (behawioralna); asertywność (behawioralna),sceptycyzm (kognitywny); odmowa (behawioralna); preferencje (kognitywne); wyrażenie chęci (behawioralne),sceptycyzm (kognitywny),odmowa; preferencje; wyrażenie chęci,ostrożność; asertywność,większa granulacja emocjonalna,"Annotator zidentyfikował więcej szczegółowych reakcji behawioralnych i kognitywnych, ale nie wprowadził nowych emocji. Zmiana w kierunku bardziej zróżnicowanych reakcji behawioralnych.",0.4,"Rozwój w identyfikacji reakcji behawioralnych i kognitywnych, z większym naciskiem na konkretne wyrażenia preferencji i odmowy. Utrata ogólnych terminów jak 'ostrożność' i 'asertywność' na rzecz bardziej szczegółowych reakcji może wskazywać na lepsze zrozumienie kontekstu społecznego.",reaction
627,0.3,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,0,2,3,0,0,0,1,1,"Annotator przeszedł od analizy krytycznych myśli i preferencji do prostego stwierdzenia odmowy, co wskazuje na spłycenie analizy emocjonalnej i kognitywnej.","krytyczne myślenie (odmowa, nieopłacalność, strategia marketingowa); preferencje (woda, napoje energetyczne)",behawioralne manifestacje (odmowa),[],behawioralne manifestacje,krytyczne myślenie; preferencje,spłycenie (fokus na zachowania),"Annotator skupił się na prostym opisie odmowy, rezygnując z analizy krytycznych myśli i preferencji, co prowadzi do uproszczenia zrozumienia reakcji.",-0.6,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy. Zamiast złożonego podejścia, które uwzględniało krytyczne myślenie i preferencje, annotator skupił się na prostym stwierdzeniu odmowy, co ogranicza głębokość analizy psychologicznej.",reaction
628,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,1,0,0,1,0,Brak zmiany w zrozumieniu emocjonalnym; obie odpowiedzi koncentrują się na zewnętrznych zachowaniach bez analizy wewnętrznych stanów psychicznych.,zachowanie (odmowa zakupu),zachowanie (nie uległ namowom),zachowanie,[],[],brak znaczącej zmiany,Annotator nie wykazał postępu w analizie reakcji psychologicznych; odpowiedzi pozostają na poziomie opisów zachowań zewnętrznych.,0.0,"Brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny. Odpowiedzi koncentrują się na zewnętrznych zachowaniach, co wskazuje na potrzebę głębszej analizy wewnętrznych stanów emocjonalnych i kognitywnych.",reaction
629,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,1,1,3,1,1,"Annotator przeszedł od opisu jedynie zewnętrznego zachowania do uwzględnienia wewnętrznych procesów myślowych oraz emocjonalnych, takich jak przemyślenie swojego zachowania i wstępna deklaracja rezygnacji.",zachowanie (opór),"emocje (wątpliwości, zgoda); procesy kognitywne (argumentowanie, przemyślenie)",zachowanie (opór),emocje; procesy kognitywne,[],pogłębienie psychologiczne,"Annotator rozszerzył swoje zrozumienie reakcji na wpływ społeczny, dodając wewnętrzne procesy myślowe i emocjonalne do opisu, co pokazuje większą głębię analizy.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Wprowadzenie emocji i procesów kognitywnych do analizy reakcji, co pokazuje większą złożoność w interpretacji wpływu społecznego; (2) Zmiana z opisu jedynie zewnętrznych zachowań na uwzględnienie wewnętrznych przemyśleń i emocji, co wskazuje na głębsze zrozumienie dynamiki wpływu społecznego.",reaction
630,0.3,średni,średni,mieszany,mieszany,bez zmian,1,1,0,1,2,2,1,0,"Annotator przeszedł od ogólnego opisu autorefleksji do bardziej złożonych emocji, takich jak bunt i usprawiedliwianie się, co wskazuje na lepsze zrozumienie wewnętrznych konfliktów związanych z wydawaniem pieniędzy.",autorefleksja; argumentacja zakupów,usprawiedliwianie się; komunikacja społeczna; bunt; prawo do wydawania pieniędzy,[],usprawiedliwianie się; komunikacja społeczna; bunt; prawo do wydawania pieniędzy,autorefleksja; argumentacja zakupów,większa granulacja emocjonalna,"Annotator dodał nowe kategorie emocjonalne i kognitywne, co wskazuje na rozwój w rozumieniu reakcji na wpływ społeczny, mimo że nie doszło do głębszego zrozumienia psychologicznych mechanizmów.",0.5,"Rozwój w zakresie identyfikacji emocji i kognicji związanych z wydawaniem pieniędzy. Kluczowe zmiany obejmują dodanie emocji takich jak bunt i usprawiedliwianie się, co wskazuje na lepsze zrozumienie wewnętrznych konfliktów, ale brak głębszej analizy psychologicznych mechanizmów.",reaction
631,0.3,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,3,0,1,0,3,2,2,"Annotator przeszedł od identyfikacji emocji (smutek) do bardziej behawioralnych reakcji, co wskazuje na spłycenie analizy emocjonalnej.","emocje (smutek); procesy kognitywne (usprawiedliwianie, obrona); konkretne zachowania (przyjęcie argumentów)","behawioralne reakcje (odmowa, obrona stanowiska); konkretne zachowania (przyznanie racji, deklaracja niekupienia)",procesy kognitywne,behawioralne reakcje,emocje,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy emocjonalnej do bardziej behawioralnych reakcji, co wskazuje na spłycenie zrozumienia psychologicznych reakcji na wpływ społeczny.",-0.5,"Rozwój rozumienia przez annotatora wykazuje spłycenie analizy. Zmiana z identyfikacji emocji na bardziej behawioralne reakcje sugeruje, że annotator skupił się na zewnętrznych wynikach i działaniach, a nie na wewnętrznych stanach psychologicznych.",reaction
632,0.2,średni,powierzchowny,mieszany,psychologiczny,bardziej behawioralny,1,1,2,1,0,1,0,0,"Annotator przeszedł od złożonego opisu reakcji, który obejmował emocje i decyzje, do jednego, ogólnego stwierdzenia o usprawiedliwianiu się, co wskazuje na spłycenie analizy emocjonalnej.",emocje (poczucie winy); decyzje (zaprzestanie zakupów); behawioralne manifestacje (spadek oporu),kognicje (usprawiedliwianie się),[],kognicje (usprawiedliwianie się),emocje; decyzje; behawioralne manifestacje,spłycenie (fokus na zachowania),"Annotator zredukował złożoność analizy reakcji, koncentrując się na jednym aspekcie (usprawiedliwianie się) i pomijając inne istotne elementy, takie jak emocje i decyzje.",-0.7,Zauważalny regres w zrozumieniu psychologicznych reakcji. Kluczowe zmiany: (1) Spłycenie analizy - złożone reakcje emocjonalne i behawioralne zostały zredukowane do jednego stwierdzenia; (2) Utrata różnorodności w identyfikacji reakcji - brak emocji i decyzji wskazuje na ograniczenie w rozumieniu wpływu społecznego.,reaction
633,0.3,średni,średni,psychologiczny,mieszany,bez zmian,0,1,0,1,1,1,1,1,"Annotator dodał emocjonalny komponent do reakcji, wskazując na zmieszanie, co sugeruje większą świadomość wewnętrznych stanów emocjonalnych związanych z wpływem społecznym.",procesy kognitywne (usprawiedliwianie); akceptacja argumentów (akceptacja),emocje (zmieszanie); procesy kognitywne (usprawiedliwianie); zmiana planów (rezygnacja),procesy kognitywne (usprawiedliwianie),emocje (zmieszanie); zmiana planów (rezygnacja),akceptacja argumentów,większa granulacja emocjonalna,"Annotator dodał emocjonalny wymiar do analizy reakcji, wskazując na zmieszanie, co pokazuje rozwój w rozumieniu emocji związanych z wpływem społecznym.",0.5,"Annotator wykazał rozwój w zakresie identyfikacji emocji, dodając zmieszanie jako reakcję emocjonalną. Zmiana w analizie pokazuje większą złożoność w rozumieniu reakcji na wpływ społeczny, mimo że niektóre kategorie, takie jak akceptacja argumentów, zostały utracone.",reaction
634,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej behawioralny,0,1,1,0,0,2,2,1,"Annotator przeszedł od ogólnego opisu obrony i zrozumienia do bardziej szczegółowego opisu technik argumentacyjnych i zachowań, co wskazuje na rozwój w analizie kognitywnej i behawioralnej.",obrona (reakcja emocjonalna); zrozumienie (proces kognitywny),techniki argumentacyjne (podważanie zdania); odrzucenie (reakcja behawioralna); utrzymanie swojego zdania (reakcja behawioralna); zewnętrzne wyniki (niespełnienie prośby),[],techniki argumentacyjne; odrzucenie; utrzymanie swojego zdania; zewnętrzne wyniki,obrona; zrozumienie,spłycenie (fokus na zachowania),"Annotator przeszedł od bardziej ogólnych reakcji emocjonalnych i kognitywnych do bardziej szczegółowego opisu zachowań, co może sugerować spłycenie analizy psychologicznej.",-0.4,"Rozwój w analizie reakcji, jednak z przesunięciem w stronę opisu zachowań zewnętrznych, co może wskazywać na spłycenie w rozumieniu wewnętrznych procesów psychologicznych. Brak emocjonalnych i kognitywnych reakcji w nowej odpowiedzi sugeruje, że annotator skupił się na zewnętrznych aspektach interakcji.",reaction
635,0.5,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,1,1,1,0,1,1,2,0,"Annotator przeszedł od bardziej złożonego opisu reakcji do prostszych, bardziej behawioralnych sformułowań, co wskazuje na spłycenie analizy emocjonalnej.",emocje negatywne (niechęć); procesy kognitywne (argumentacja); zachowania (chęć dostosowania),"emocje negatywne (niechęć); zachowania (kręcenie nosem, krytycyzm)",emocje negatywne,"zachowania (kręcenie nosem, krytycyzm)",procesy kognitywne (argumentacja); chęć dostosowania,spłycenie (fokus na zachowania),"Annotator przeszedł do bardziej behawioralnego opisu reakcji, eliminując bardziej złożone procesy kognitywne i emocjonalne. Zmiana ta wskazuje na uproszczenie analizy.",-0.4,"Rozwój rozumienia przez annotatora wykazuje tendencję do spłycenia analizy reakcji. Zmiana z bardziej złożonych opisów na prostsze, behawioralne sformułowania może sugerować, że annotator skupił się na zewnętrznych manifestacjach reakcji, a nie na wewnętrznych procesach psychologicznych.",reaction
636,0.5,średni,średni,mieszany,psychologiczny,bardziej psychologiczny,1,1,0,1,1,2,0,0,"Annotator zidentyfikował niechęć jako emocjonalną reakcję, ale dodał również kognitywne procesy związane z porównaniami społecznymi, co wskazuje na rozwój w rozumieniu mechanizmów wpływu społecznego.",emocje negatywne (niechęć); procesy kognitywne (odmowa),emocje negatywne (niechęć); procesy kognitywne (porównania społeczne),emocje negatywne; procesy kognitywne,porównania społeczne,[],większa granulacja emocjonalna,"Annotator dodał nowe aspekty kognitywne do analizy reakcji, koncentrując się na porównaniach społecznych, co wzbogaca zrozumienie reakcji na wpływ społeczny.",0.6,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany obejmują dodanie kognitywnych procesów związanych z porównaniami społecznymi, co wskazuje na głębsze zrozumienie mechanizmów wpływu. Utrzymano emocjonalną reakcję niechęci, co pokazuje spójność w analizie.",reaction
637,0.5,średni,głęboki,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,1,2,0,0,3,0,0,"Annotator przeszedł od opisu zachowań do bardziej złożonego rozumienia procesów myślowych, takich jak racjonalizowanie i odniesienia do norm społecznych.",odwołania do rówieśników; wyjaśnienia; odmowa,odwołania do rówieśników; wskazania na normy społeczne (cringe); racjonalizowanie,odwołania do rówieśników,wskazania na normy społeczne; racjonalizowanie,wyjaśnienia; odmowa,pogłębienie psychologiczne,"Annotator przeszedł od opisu zewnętrznych zachowań do analizy wewnętrznych procesów myślowych, co wskazuje na rozwój w rozumieniu reakcji na wpływ społeczny.",0.7,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany: (1) Zmiana z opisu zachowań na analizę myślenia i racjonalizacji; (2) Wprowadzenie pojęcia 'cringe' jako odniesienia do norm społecznych, co pokazuje głębsze zrozumienie wpływu rówieśników; (3) Utrata niektórych konkretnych zachowań na rzecz bardziej złożonych procesów myślowych.",reaction
638,0.3,średni,średni,psychologiczny,psychologiczny,bez zmian,2,0,0,0,1,1,1,0,"Annotator przeszedł od ogólnych emocji (zniechęcenie, zażenowanie) do bardziej zróżnicowanych reakcji, które obejmują porównania społeczne i obawy dotyczące wyglądu, co wskazuje na rozwój w rozumieniu psychologicznych reakcji.","emocje negatywne (zniechęcenie, zażenowanie)",emocje negatywne (obawa o wygląd); procesy kognitywne (porównywanie się); behawioralne manifestacje (stanowcza odmowa),[],emocje negatywne (obawa o wygląd); procesy kognitywne (porównywanie się); behawioralne manifestacje (stanowcza odmowa),"emocje negatywne (zniechęcenie, zażenowanie)",większa granulacja emocjonalna,"Annotator zredukował ogólne emocje na rzecz bardziej szczegółowych reakcji, takich jak obawa o wygląd i porównywanie się do rówieśników, co wskazuje na rozwój w rozumieniu psychologicznych reakcji.",0.5,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z ogólnych emocji na bardziej szczegółowe, co wskazuje na lepsze zrozumienie procesów kognitywnych i emocjonalnych; (2) Wprowadzenie porównań społecznych jako istotnego elementu reakcji na wpływ społeczny.",reaction
639,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,1,1,0,0,0,0,0,"Brak zmian w zrozumieniu emocjonalnym, ponieważ odpowiedź po prostu nie istnieje.","kognitywne (uważa, że wie lepiej); behawioralne (ważniejsze zdanie rówieśników)",[],[],[],kognitywne; behawioralne,brak znaczącej zmiany,Brak odpowiedzi w sekcji 'After' uniemożliwia ocenę ewolucji rozumienia.,-1.0,Brak odpowiedzi w sekcji 'After' wskazuje na brak rozwoju w rozumieniu reakcji na wpływ społeczny. Odpowiedź 'Before' była powierzchowna i nie zawierała głębszej analizy psychologicznych stanów.,reaction
640,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co wskazuje na brak reakcji lub zrozumienia ze strony annotatora w kontekście wpływu społecznego.",reaction
641,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,1,0,0,0,0,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ odpowiedź po prostu nie zawiera żadnych reakcji.",trudność w ocenie,[],[],[],trudność w ocenie,spłycenie (fokus na zachowania),"Annotator nie dostarczył żadnej reakcji w odpowiedzi po, co wskazuje na spłycenie analizy i brak rozwoju w zrozumieniu psychologicznych reakcji.",-1.0,"Brak jakiejkolwiek reakcji w odpowiedzi po sugeruje, że annotator nie rozwinął swojego zrozumienia reakcji na wpływ społeczny, a wręcz przeciwnie - zredukował je do braku odpowiedzi.",reaction
642,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakiejkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,Brak danych w odpowiedzi 'Before' oraz 'After' uniemożliwia ocenę rozwoju rozumienia przez annotatora. Nie zaobserwowano żadnych reakcji ani zmian w zrozumieniu.,reaction
643,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak jakichkolwiek reakcji w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat reakcji na wpływ społeczny, co uniemożliwia ocenę rozwoju ich zrozumienia.",reaction
644,0.0,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,0,2,0,0,"Annotator przeszedł od braku reakcji do identyfikacji kognitywnych procesów związanych z wątpliwościami i dopytywaniem, co wskazuje na rozwój w rozumieniu psychologicznych reakcji.",[],"procesy kognitywne (wątpliwości, dopytywanie)",[],procesy kognitywne,[],pogłębienie psychologiczne,"Annotator zidentyfikował kognitywne procesy jako reakcje na wpływ społeczny, co pokazuje rozwój w rozumieniu psychologicznych aspektów reakcji.",0.6,"Rozwój w identyfikacji reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z braku reakcji na rozpoznanie kognitywnych procesów, co wskazuje na większą świadomość psychologiczną; (2) Wprowadzenie pojęć związanych z wątpliwościami i dopytywaniem, co sugeruje rozwój w analizie reakcji na wpływ społeczny.",reaction
645,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,3,0,0,0,0,0,"Brak zmian w zrozumieniu emocjonalnym, ponieważ odpowiedź po czasie jest pusta.",opór wobec wpływu; negacja autorytetu; zrozumienie,[],[],[],opór wobec wpływu; negacja autorytetu; zrozumienie,brak znaczącej zmiany,Brak odpowiedzi po czasie wskazuje na stagnację w rozumieniu reakcji na wpływ społeczny.,-1.0,"Brak jakiejkolwiek zmiany w zrozumieniu reakcji na wpływ społeczny, co może sugerować brak postępu w analizie lub trudności w przetwarzaniu informacji.",reaction
646,0.3,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,0,1,1,0,0,1,2,0,"Annotator przeszedł od bardziej psychologicznego opisu do skupienia się na zewnętrznych zachowaniach uczniów, co ogranicza zrozumienie wewnętrznych stanów emocjonalnych.",procesy kognitywne (podważanie autorytetu); behawioralne manifestacje (podkreślenie wolności),"behawioralne manifestacje (pytania, rozmowy, spojrzenia)",procesy kognitywne,behawioralne manifestacje (opór),emocje,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy psychologicznych reakcji do opisu zewnętrznych zachowań, co ogranicza głębię analizy.",-0.5,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy. Zamiast zrozumienia wewnętrznych stanów emocjonalnych, annotator skupił się na zewnętrznych zachowaniach, co może sugerować brak głębszej refleksji nad psychologicznymi aspektami oporu wobec autorytetu.",reaction
647,0.3,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,1,0,0,2,1,0,"Annotator przeszedł od opisu jednego zachowania (wchodzenie w polemikę) do bardziej złożonego opisu, który uwzględnia myślenie niezależne i przedstawianie kontrargumentów, co wskazuje na rozwój w rozumieniu procesów kognitywnych.",behawioralne manifestacje (wchodzenie w polemikę),"procesy kognitywne (myślenie niezależne, kontrargumenty); behawioralne manifestacje (wchodzenie w polemikę)",behawioralne manifestacje,"procesy kognitywne (myślenie niezależne, kontrargumenty)",[],pogłębienie psychologiczne,"Annotator rozszerzył swoje zrozumienie reakcji na wpływ społeczny, dodając elementy myślenia niezależnego i argumentacji, co wskazuje na większą świadomość procesów kognitywnych.",0.7,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany: (1) Zmiana z opisu jednego zachowania na bardziej złożoną analizę procesów myślowych; (2) Wprowadzenie kognitywnych aspektów reakcji, co pokazuje większą głębię analizy; (3) Utrzymanie behawioralnych manifestacji, co wskazuje na zrozumienie, że zachowania mogą być związane z wewnętrznymi procesami myślowymi.",reaction
648,0.5,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,0,2,0,1,0,1,1,0,"Annotator przeszedł od analizy bardziej złożonych procesów myślowych do prostszych stwierdzeń dotyczących braku zgody, co wskazuje na spłycenie analizy emocjonalnej.",procesy kognitywne (odniesienie do wolności wyboru); brak zaufania (do nauczycielki); odrzucenie sugestii,brak przekonania (do rady nauczycielki); brak zgody (konkretnej),[],brak przekonania; brak zgody,procesy kognitywne; brak zaufania; odrzucenie sugestii,spłycenie (fokus na zachowania),"Annotator przeszedł do bardziej powierzchownej analizy, koncentrując się na braku zgody i przekonania, co ogranicza zrozumienie wewnętrznych procesów psychologicznych.",-0.6,"Zmiana w analizie reakcji wskazuje na spłycenie zrozumienia psychologicznych aspektów wpływu społecznego. Zamiast złożonej analizy procesów myślowych i emocjonalnych, annotator skupił się na prostych stwierdzeniach dotyczących braku zgody, co może sugerować utratę głębszej refleksji nad wewnętrznymi stanami psychologicznymi.",reaction
649,0.1,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,0,0,0,0,"Brak zmiany w zrozumieniu emocji, ponieważ odpowiedź po nie zawiera żadnych reakcji.",brak zaufania; interakcje społeczne (spojrzenia),[],[],[],brak zaufania; interakcje społeczne,brak znaczącej zmiany,"Odpowiedź po nie zawiera brak reakcji, co wskazuje na stagnację w rozumieniu reakcji na wpływ społeczny.",-1.0,"Brak odpowiedzi po wskazuje na brak rozwoju w analizie reakcji na wpływ społeczny. Odpowiedź przed była ograniczona do obserwacji zachowań, a brak odpowiedzi po sugeruje, że annotator nie rozwinął swojego zrozumienia w tym zakresie.",reaction
650,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,"Nie zaobserwowano żadnych reakcji ani zmian w zrozumieniu wpływu społecznego, ponieważ obie odpowiedzi są puste.",0.0,"Brak danych do analizy. Obie odpowiedzi są puste, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
651,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na stagnację w rozumieniu wpływu społecznego.,0.0,"Brak jakichkolwiek reakcji w odpowiedziach sugeruje, że annotator nie był w stanie zidentyfikować ani zrozumieć reakcji na wpływ społeczny w żadnym z przypadków.",reaction
652,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak jakichkolwiek reakcji w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat reakcji na wpływ społeczny, co uniemożliwia ocenę rozwoju ich zrozumienia.",reaction
653,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek odpowiedzi w obu przypadkach wskazuje na brak rozwoju w rozumieniu reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
654,0.2,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,0,2,3,0,"Annotator przeszedł od braku identyfikacji reakcji do rozpoznania różnorodnych interakcji społecznych, jednak brak jest głębszych emocjonalnych reakcji.",[],"kognitywne (kwestionowanie opinii); behawioralne (sprowokowanie dyskusji, przyznanie racji)",[],kognitywne; behawioralne,[],większa granulacja emocjonalna,"Annotator zaczął dostrzegać różnorodność reakcji w interakcjach społecznych, jednak nadal brakuje głębszej analizy emocjonalnej.",0.5,"Rozwój w identyfikacji reakcji społecznych, jednak brak głębszego zrozumienia emocji. Zmiana z braku reakcji do rozpoznania kognitywnych i behawioralnych aspektów interakcji.",reaction
655,0.2,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,1,1,1,0,"Annotator zidentyfikował emocjonalny aspekt obrony stylu oraz kognitywne zrozumienie presji społecznej, co pokazuje rozwój w rozumieniu wewnętrznych reakcji na wpływ społeczny.",[],emocje (obrona stylu); procesy kognitywne (zauważanie presji); behawioralne manifestacje (uleganie),[],emocje; procesy kognitywne; behawioralne manifestacje,[],pogłębienie psychologiczne,Annotator przeszedł od braku analizy reakcji do zrozumienia emocji i procesów kognitywnych związanych z wpływem społecznym. Zidentyfikował obronę stylu jako emocjonalną reakcję oraz zauważenie presji jako proces kognitywny.,0.75,"Rozwój w analizie reakcji na wpływ społeczny. Kluczowe zmiany: (1) Wprowadzenie emocji i procesów kognitywnych do analizy reakcji; (2) Zrozumienie, że obrona stylu jest reakcją emocjonalną, a uleganie presji to proces kognitywny; (3) Zwiększenie złożoności analizy poprzez uwzględnienie behawioralnych manifestacji.",reaction
